url,strategy,performance_score,accessibility_score,best_practices_score,seo_score,first_contentful_paint,largest_contentful_paint,cumulative_layout_shift,total_blocking_time,speed_index,error
https://www.oyamimamori.jp/,mobile,89,100,100,100,2505.334685445887,3208.032875891774,0,0,3041.826113184794,
https://www.oyamimamori.jp/,desktop,100,100,100,100,260.6981907371087,671.6981907371087,0,45,363.85819375988575,
https://www.oyamimamori.jp/app/,mobile,93,95,100,100,829.0084122676185,3196.706344535237,0,60,2280.816688877961,
https://www.oyamimamori.jp/app/,desktop,100,95,100,100,245.6981903968388,672.6981903968388,0,52,300.6805102937999,
https://www.oyamimamori.jp/articles/,mobile,87,98,100,100,2484.1998978324946,3228.898088164989,0,0,4316.919361223547,
https://www.oyamimamori.jp/articles/,desktop,72,98,100,100,694.6937967732761,1183.693796773276,0,656.5,1268.8366602602928,
https://www.oyamimamori.jp/about/,mobile,89,95,100,100,2490.0063647756297,3218.7042970512593,0,0,2923.454043981922,
https://www.oyamimamori.jp/about/,desktop,96,95,100,100,612.6984492006034,1045.3968984012067,0,114,1004.2160292670674,
https://www.oyamimamori.jp/contact/,mobile,93,100,100,100,782.7695072608398,3213.46743952168,0,56,2221.130038866965,
https://www.oyamimamori.jp/contact/,desktop,100,100,100,100,222.69896613707527,639.6989661370753,0,19,233.2767833370196,
